phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
4924425,https://cnpulp.net/EserviceMain/irs/ir/index.html,http://www.phishtank.com/phish_detail.php?phish_id=4924425,2017-04-03T16:19:26+00:00,yes,2017-04-03T16:21:12+00:00,yes,Internal Revenue Service
4924407,http://foldinati.com/ju/aba.html,http://www.phishtank.com/phish_detail.php?phish_id=4924407,2017-04-03T16:00:26+00:00,yes,2017-04-03T16:53:30+00:00,yes,Other
4924285,http://adminsmaintenaceroutine.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=4924285,2017-04-03T15:18:59+00:00,yes,2017-04-03T16:44:35+00:00,yes,Microsoft
4924258,http://roadmaster.com.my/wp-content/themes/login.microsoftonline.com/office365.webmail.html,http://www.phishtank.com/phish_detail.php?phish_id=4924258,2017-04-03T15:16:55+00:00,yes,2017-04-03T16:24:32+00:00,yes,Other
4924237,http://dhalander.com.br/Atendimento.Cliente01/cadastros/desatualizada/cliente.preferencial/pendente.atualizacao/comunicado/index1.php,http://www.phishtank.com/phish_detail.php?phish_id=4924237,2017-04-03T15:14:22+00:00,yes,2017-04-03T16:53:30+00:00,yes,Other
4924221,http://vseservicy.ru/wp-content/plugins/sas.php,http://www.phishtank.com/phish_detail.php?phish_id=4924221,2017-04-03T14:59:08+00:00,yes,2017-04-03T16:24:32+00:00,yes,Other
4924213,http://ci0.co.vu/css/?bsoul=/yh/en/?i=31416&amp;i=31416,http://www.phishtank.com/phish_detail.php?phish_id=4924213,2017-04-03T14:50:03+00:00,yes,2017-04-03T16:24:32+00:00,yes,Other
4924206,http://dialaduduman.com/review/images/yah/validate.htm,http://www.phishtank.com/phish_detail.php?phish_id=4924206,2017-04-03T14:37:54+00:00,yes,2017-04-03T15:34:05+00:00,yes,Other
4924203,http://milwaukeecreamcitys.org/images/april.php,http://www.phishtank.com/phish_detail.php?phish_id=4924203,2017-04-03T14:28:49+00:00,yes,2017-04-03T15:01:26+00:00,yes,Other
4924176,http://de-paypa.lhilfe-guard.net/,http://www.phishtank.com/phish_detail.php?phish_id=4924176,2017-04-03T14:18:23+00:00,yes,2017-04-03T16:57:58+00:00,yes,PayPal
4924173,http://de-paypa.lhilfe-guard.net/index.php?sessionid&signin&country.x=DE&cache=j8TuaD15NrtZ6fsJSwnm&locale.x=de_DE,http://www.phishtank.com/phish_detail.php?phish_id=4924173,2017-04-03T14:18:12+00:00,yes,2017-04-03T16:59:05+00:00,yes,PayPal
4924171,http://secure-paypa.lhilfe-guard.net/index.php?sessionid&signin&country.x=DE&cache=FgywOrXSPWeZC8NE5Utn&locale.x=de_DE,http://www.phishtank.com/phish_detail.php?phish_id=4924171,2017-04-03T14:18:11+00:00,yes,2017-04-03T16:59:05+00:00,yes,PayPal
4924170,http://secure-paypa.lhilfe-guard.net/,http://www.phishtank.com/phish_detail.php?phish_id=4924170,2017-04-03T14:18:10+00:00,yes,2017-04-03T16:59:05+00:00,yes,PayPal
4924137,http://postesecurelogin.posta.it.bancaposta.foo-autenticazione.szludxjhwgct2r04lps5prfwgwdzszkayvl2iuz51bosinmu46pjmv6th0ip.buburazadelamunte.for-our.info/hescientiststravelled/ontworesearchvessels/almostkilometresfrom/ichangtothenearbyhree/loginfilea/foo-autenticazione.php,http://www.phishtank.com/phish_detail.php?phish_id=4924137,2017-04-03T14:12:35+00:00,yes,2017-04-03T16:20:05+00:00,yes,Poste Italiane
4924135,https://billing-credentials.com/webapps/5d9f2/websrc,http://www.phishtank.com/phish_detail.php?phish_id=4924135,2017-04-03T14:12:15+00:00,yes,2017-04-03T16:13:22+00:00,yes,PayPal
